iter	Passed	Remaining
0	148	147890
1	152	76335
2	161	53743
3	166	41341
4	174	34668
5	178	29593
6	183	26038
7	190	23640
8	194	21471
9	198	19617
10	202	18209
11	205	16938
12	207	15767
13	209	14777
14	211	13904
15	213	13137
16	215	12442
17	218	11910
18	219	11348
19	221	10846
20	222	10378
21	223	9956
22	225	9568
23	226	9210
24	227	8883
25	228	8577
26	230	8303
27	232	8066
28	233	7817
29	234	7588
30	235	7372
31	237	7173
32	238	6981
33	239	6799
34	240	6627
35	241	6471
36	242	6318
37	243	6174
38	246	6068
39	247	5937
40	248	5814
41	249	5695
42	250	5581
43	254	5519
44	255	5428
45	257	5347
46	262	5326
47	264	5239
48	265	5149
49	266	5067
50	268	4994
51	269	4917
52	271	4843
53	272	4765
54	273	4692
55	274	4620
56	275	4552
57	277	4513
58	279	4451
59	280	4393
60	281	4333
61	282	4274
62	283	4220
63	284	4166
64	285	4113
65	287	4062
66	288	4012
67	289	3962
68	290	3915
69	293	3894
70	294	3851
71	295	3808
72	296	3766
73	297	3725
74	298	3684
75	299	3644
76	300	3605
77	301	3567
78	302	3530
79	303	3495
80	305	3460
81	307	3442
82	308	3407
83	309	3375
84	310	3345
85	311	3314
86	312	3283
87	313	3254
88	315	3225
89	316	3196
90	317	3168
91	318	3141
92	319	3115
93	320	3088
94	323	3078
95	324	3053
96	325	3029
97	326	3005
98	332	3027
99	334	3006
100	335	2985
101	361	3179
102	362	3159
103	364	3138
104	365	3116
105	366	3094
106	368	3072
107	373	3084
108	374	3063
109	376	3042
110	377	3022
111	378	3002
112	379	2982
113	381	2962
114	382	2944
115	389	2968
116	390	2947
117	391	2928
118	393	2910
119	394	2892
120	395	2875
121	396	2856
122	398	2840
123	407	2880
124	409	2863
125	410	2848
126	411	2829
127	412	2812
128	414	2797
129	417	2794
130	419	2779
131	420	2763
132	421	2748
133	434	2807
134	435	2792
135	437	2776
136	438	2761
137	439	2746
138	440	2731
139	442	2717
140	443	2702
141	444	2686
142	445	2672
143	449	2671
144	450	2658
145	452	2644
146	453	2632
147	454	2618
148	456	2605
149	457	2593
150	459	2581
151	460	2571
152	462	2561
153	465	2555
154	466	2543
155	467	2531
156	470	2523
157	471	2511
158	472	2498
159	473	2485
160	474	2470
161	475	2457
162	476	2445
163	477	2432
164	479	2426
165	480	2413
166	481	2401
167	482	2389
168	483	2377
169	484	2364
170	485	2353
171	486	2341
172	487	2329
173	488	2318
174	489	2306
175	490	2295
176	491	2284
177	493	2279
178	495	2271
179	496	2260
180	497	2249
181	498	2238
182	499	2228
183	500	2218
184	501	2207
185	502	2197
186	503	2187
187	504	2177
188	505	2167
189	506	2157
190	507	2148
191	509	2143
192	510	2134
193	511	2124
194	512	2114
195	513	2105
196	514	2095
197	515	2086
198	516	2077
199	517	2070
200	518	2063
201	520	2055
202	521	2048
203	524	2044
204	525	2037
205	526	2030
206	528	2022
207	529	2015
208	530	2009
209	532	2002
210	533	1995
211	535	1988
212	536	1982
213	538	1978
214	540	1972
215	541	1965
216	542	1958
217	543	1949
218	544	1941
219	545	1933
220	546	1925
221	547	1918
222	548	1910
223	549	1903
224	550	1895
225	551	1888
226	553	1886
227	554	1879
228	555	1871
229	556	1864
230	557	1857
231	559	1850
232	559	1843
233	560	1836
234	561	1828
235	562	1821
236	563	1815
237	564	1808
238	565	1801
239	566	1794
240	569	1792
241	570	1786
242	571	1779
243	572	1773
244	573	1766
245	574	1760
246	575	1753
247	576	1746
248	577	1740
249	578	1734
250	578	1727
251	579	1721
252	580	1715
253	581	1709
254	584	1707
255	585	1701
256	586	1695
257	587	1689
258	588	1683
259	589	1677
260	590	1671
261	591	1665
262	592	1659
263	593	1654
264	594	1648
265	595	1642
266	596	1636
267	598	1634
268	600	1631
269	601	1626
270	602	1620
271	603	1615
272	604	1609
273	605	1603
274	606	1598
275	607	1592
276	608	1587
277	609	1582
278	610	1576
279	611	1571
280	613	1570
281	614	1565
282	615	1559
283	616	1554
284	617	1549
285	618	1544
286	619	1539
287	620	1534
288	621	1529
289	622	1524
290	623	1519
291	624	1514
292	625	1509
293	626	1504
294	629	1503
295	630	1499
296	631	1494
297	632	1489
298	633	1484
299	634	1479
300	635	1474
301	636	1470
302	637	1465
303	638	1460
304	639	1456
305	640	1451
306	641	1447
307	642	1443
308	644	1442
309	645	1437
310	647	1433
311	648	1429
312	649	1425
313	650	1420
314	651	1416
315	652	1412
316	653	1408
317	654	1404
318	655	1400
319	658	1398
320	659	1396
321	661	1391
322	662	1387
323	663	1383
324	664	1379
325	665	1375
326	666	1371
327	667	1367
328	668	1363
329	669	1359
330	670	1355
331	671	1351
332	674	1350
333	675	1346
334	676	1342
335	677	1338
336	678	1333
337	678	1329
338	679	1325
339	680	1321
340	681	1317
341	682	1313
342	683	1309
343	684	1305
344	685	1302
345	688	1300
346	689	1297
347	690	1293
348	691	1289
349	692	1286
350	693	1282
351	694	1278
352	695	1274
353	696	1270
354	697	1266
355	698	1263
356	699	1259
357	700	1256
358	701	1252
359	703	1250
360	704	1247
361	705	1243
362	706	1239
363	707	1236
364	708	1232
365	709	1228
366	710	1225
367	711	1221
368	712	1218
369	713	1214
370	714	1211
371	715	1207
372	716	1204
373	718	1203
374	719	1199
375	720	1196
376	721	1192
377	722	1189
378	723	1185
379	724	1182
380	725	1178
381	726	1175
382	727	1172
383	728	1168
384	729	1165
385	730	1162
386	732	1160
387	734	1157
388	735	1154
389	736	1151
390	737	1148
391	738	1145
392	739	1142
393	740	1138
394	741	1135
395	742	1132
396	743	1128
397	744	1125
398	745	1122
399	746	1119
400	748	1118
401	749	1115
402	750	1111
403	751	1108
404	752	1105
405	753	1102
406	754	1099
407	755	1096
408	756	1093
409	757	1090
410	758	1087
411	759	1084
412	760	1081
413	762	1079
414	763	1076
415	764	1073
416	766	1071
417	767	1069
418	768	1066
419	769	1063
420	770	1060
421	771	1057
422	772	1054
423	773	1051
424	774	1048
425	776	1046
426	778	1044
427	778	1041
428	779	1037
429	780	1035
430	781	1032
431	782	1029
432	783	1026
433	784	1023
434	785	1020
435	786	1017
436	787	1014
437	788	1012
438	789	1009
439	792	1008
440	793	1005
441	794	1002
442	795	999
443	796	996
444	796	993
445	797	991
446	798	988
447	799	985
448	800	982
449	801	980
450	802	977
451	803	974
452	804	971
453	806	970
454	808	968
455	809	965
456	810	962
457	811	960
458	812	957
459	813	954
460	814	952
461	815	949
462	816	946
463	817	944
464	818	941
465	819	938
466	820	936
467	822	935
468	823	932
469	824	930
470	826	927
471	827	925
472	828	923
473	829	920
474	830	918
475	831	915
476	832	912
477	833	910
478	834	907
479	837	906
480	838	904
481	839	902
482	841	900
483	842	898
484	843	896
485	845	893
486	846	891
487	847	889
488	848	886
489	849	884
490	853	884
491	854	882
492	855	880
493	857	877
494	858	875
495	859	873
496	860	871
497	861	868
498	862	866
499	864	864
500	865	861
501	867	860
502	868	858
503	869	856
504	871	854
505	873	852
506	875	851
507	877	849
508	878	847
509	879	845
510	882	844
511	883	842
512	885	840
513	886	838
514	887	836
515	889	834
516	890	831
517	891	829
518	892	827
519	893	824
520	894	822
521	896	820
522	899	820
523	900	817
524	901	815
525	902	813
526	903	810
527	904	808
528	905	806
529	906	803
530	907	801
531	908	799
532	909	796
533	910	794
534	913	794
535	914	791
536	915	789
537	916	787
538	918	785
539	919	782
540	920	780
541	921	778
542	921	775
543	922	773
544	923	771
545	924	769
546	928	768
547	929	766
548	930	764
549	931	762
550	932	759
551	933	757
552	934	755
553	935	753
554	936	750
555	937	748
556	938	746
557	939	744
558	940	741
559	943	741
560	944	738
561	945	736
562	946	734
563	947	732
564	948	729
565	949	727
566	950	725
567	950	723
568	951	721
569	952	718
570	953	716
571	955	714
572	957	713
573	958	711
574	959	709
575	960	707
576	961	704
577	962	702
578	963	700
579	964	698
580	965	696
581	966	694
582	967	692
583	968	689
584	969	687
585	971	686
586	972	684
587	973	682
588	974	680
589	975	678
590	976	676
591	977	673
592	978	671
593	979	669
594	980	667
595	981	665
596	982	663
597	984	661
598	989	662
599	990	660
600	991	657
601	992	656
602	994	654
603	995	652
604	996	650
605	997	648
606	998	646
607	1000	644
608	1003	644
609	1004	642
610	1005	640
611	1006	638
612	1007	636
613	1008	634
614	1009	631
615	1010	629
616	1011	627
617	1012	626
618	1013	624
619	1015	622
620	1018	621
621	1019	619
622	1020	617
623	1022	615
624	1023	613
625	1024	611
626	1025	610
627	1026	608
628	1027	606
629	1029	604
630	1030	602
631	1033	601
632	1034	599
633	1035	597
634	1037	596
635	1038	594
636	1039	592
637	1040	590
638	1042	588
639	1043	586
640	1044	584
641	1045	583
642	1048	582
643	1049	580
644	1051	578
645	1052	576
646	1053	574
647	1054	572
648	1055	570
649	1056	569
650	1058	567
651	1059	565
652	1060	563
653	1062	562
654	1064	560
655	1065	558
656	1066	556
657	1067	554
658	1068	552
659	1069	550
660	1070	549
661	1071	547
662	1072	545
663	1074	543
664	1075	541
665	1078	540
666	1079	539
667	1080	537
668	1081	535
669	1083	533
670	1084	531
671	1085	529
672	1086	527
673	1087	526
674	1088	524
675	1089	522
676	1090	520
677	1093	519
678	1094	517
679	1095	515
680	1096	513
681	1097	511
682	1098	510
683	1100	508
